<details> <summary> <b>openwrt-passwall new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
7afed0c|A-BO|Tue May 12 11:32:56 2026 +0800|luci: optimize subscribe
32ac46d|A-BO|Mon May 11 20:58:48 2026 +0800|luci: bump to 26.5.11
9f70c20|A-BO|Mon May 11 20:29:37 2026 +0800|luci: optimize log related
016a941|A-BO|Sat May 9 18:09:32 2026 +0800|luci: optimize xray balancing fallback node loop detection
15f7c1f|A-BO|Sat May 9 13:43:01 2026 +0800|luci: optimize the logic of xray balancing fallback
49b171e|A-BO|Sat May 9 13:02:31 2026 +0800|Revert "luci: rename xray inbounds' `clients/accounts` to `users` > 26.5.3"
1ed88d1|A-BO|Sat May 9 12:59:51 2026 +0800|luci: optimize the logic of adding fakeip rule in the firewall
f1bf89b|A-BO|Sat May 9 00:44:55 2026 +0800|luci: remove tuic-client
a2ae3aa|A-BO|Fri May 8 22:37:05 2026 +0800|luci: remove trojan-plus
</details>
